,node,rank_agg,a,b,n_snp,n_dis,n_deg
0,NTSR2,0.005041071375694032,"['PRPH', 'TMPRSS6', 'GABRG3', 'ITIH1', 'DPP6', 'ARVCF', 'NTF3', 'GPNMB', 'ESR1', 'F2', 'GFAP', 'TLN2', 'CYP2E1', 'GHRL', 'AICDA', 'CHRNB2', 'ABCA2', 'PACRG', 'CDSN', 'TAT', 'NTRK2', 'GRIN2A', 'OXTR', 'OPRD1', 'KCNB2', 'NOX1', 'CTNNA3', 'SLC1A2', 'PTAFR', 'F7', 'GRK5', 'GIPR', 'THRA', 'ERBB3', 'ECE2', 'APOA1', 'PAPPA2', 'NCOA2', 'CDH8', 'B3GALT1', 'WWOX', 'SCN8A', 'PRKRA', 'NRXN1', 'MTHFR', 'CNKSR3', 'IL2', 'PIK3CA', 'F3', 'CHRM3', 'TEF', 'HTR2C', 'CYP1A2', 'NLRP3', 'PON1', 'UTS2R', 'RBMS3', 'OTOF', 'AOC1', 'AGTR1', 'GRK4', 'MYH15', 'NKX2-1', 'CYP2D6', 'SST', 'EDNRB', 'MLANA', 'SLC6A9', 'DBH', 'MAT1A', 'RBFOX1', 'DCHS2', 'CIITA', 'WNT2', 'GTPBP1', 'P2RX7', 'SNAP25', 'LTA', 'GAD2', 'CAMK2A', 'CACNA1G', 'TULP2', 'RREB1', 'SNCB', 'PAX7', 'MGAT5', 'EDN1', 'ACKR2', 'NPY', 'KCNIP1', 'ESR2', 'REM1', 'CYP3A4', 'HTR6', 'RIT2', 'HTR1A', 'SLC6A2', 'GPC5', 'APOM', 'NPPA', 'MOBP', 'ACSL6', 'IL9R', 'TNK2', 'FAM107A', 'SYN3', 'SLC18A3', 'NPY2R', 'PGLYRP4', 'KHDRBS2', 'APP', 'PDYN', 'GRIN2B', 'DDX25', 'GNB3', 'DRD2', 'KCNMB1', 'GPR65', 'KCNMA1', 'MOG', 'TRPM1', 'DGKQ', 'CHRNA4', 'PLG', 'SCN2A', 'CLCN1', 'LIPC', 'CNNM2', 'CYP19A1', 'CNTN1', 'LUZP2', 'UNC5C', 'ZIM2', 'PRKN', 'SLC30A3', 'TH', 'HSPB3', 'NTRK1', 'PCDH11X', 'KCNQ1', 'BTNL2', 'SLC11A1', 'CR1', 'DRD3', 'PITX3', 'FGF1', 'S100B', 'GRM3', 'PAX5', 'CHRM1']","['ARRB1', 'NRG1', 'LPAR1', 'ADRB3', 'SGCD', 'PLCB1', 'PTGER3']",0,2,1536
1,SRC,0.009070640520910661,"['CELSR2', 'ATXN2', 'NR1H2', 'ZC3HAV1', 'CAMK1', 'G3BP1', 'DNAJC6', 'TIAM1', 'SMARCA4', 'TLR9', 'PLA2G6', 'TULP4', 'CHN2', 'PIK3R3', 'GSK3B', 'NR3C2', 'CDK6', 'TRIP4', 'IL6', 'MAZ', 'IL2RA', 'AKAP9', 'SH3BP2', 'ABCG2', 'CRHR1', 'FERMT2', 'MEGF10', 'CTLA4', 'PFN1', 'RXRA', 'SOD1', 'VEGFA', 'SGK1', 'PRKCG', 'SLC6A3', 'HLA-DRA', 'NR1H3', 'ATXN2L', 'GAPDH', 'CD33', 'TLR4', 'NCS1', 'RPS6KB1', 'SKAP2', 'BDNF', 'HNRNPA1', 'STUB1', 'CDK1', 'ALAD', 'PPARA', 'PTPN2', 'NSF', 'TBK1', 'GRIN3B', 'MX1', 'STK11', 'SLC2A14', 'SYK', 'ITGAM', 'PTPRG', 'PVR', 'PRDM2', 'NGF', 'HIP1R', 'NCSTN', 'AGAP2', 'CD46', 'TP53', 'ATP6V0A1', 'ICAM1', 'RAB5A', 'ARL17B', 'ITGA8', 'VMP1', 'MAPT', 'GDNF', 'STAT3', 'TRAF1', 'FLT4', 'SMPD1', 'APEX1', 'TNFRSF1A', 'SREBF1', 'KIFAP3', 'CENPV', 'PDE4D', 'NDUFV2', 'RPS6KB2', 'NECTIN2', 'ELMO1', 'SNCA', 'CD2AP', 'TNXB', 'EGF', 'PRKCH', 'VDR', 'PRKCA', 'NR3C1', 'CXCR5', 'PALM2-AKAP2', 'BCL2', 'VCAM1', 'PTPN22', 'ABCC2', 'ATG7', 'HMOX1', 'NFE2L2', 'FYN', 'STAT4', 'IQGAP1', 'PLCG1', 'SNX17', 'HSPG2', 'KDR', 'IL6R', 'GRN', 'CTSD', 'MAPK1', 'IGF1', 'TGM6', 'CDK5', 'TNFAIP3', 'LAMA1', 'UBR5', 'CD44', 'PTPA', 'INPP5D', 'GAB2', 'PLAU', 'IFNG', 'ITGB2', 'IL1B', 'HSPA5', 'CASP8', 'SNX9', 'CCL2', 'SPTAN1', 'H6PD', 'CD36', 'HLA-DRB1', 'IL4R', 'CD86', 'TCF7L2', 'NRG3', 'SYNJ1', 'ZNF646', 'TNFSF11', 'INPPL1', 'TRAF3', 'EIF4G1', 'COL18A1', 'ITSN2', 'ABCA1', 'EPS15L1', 'PTK2B', 'CD276', 'CYCS', 'NEDD9', 'SMAD3', 'MMP9', 'CCL11', 'P4HB', 'TYK2', 'FUS', 'SH2D2A', 'RUNX1', 'STAT2', 'CDH13', 'RNF4', 'ETS1', 'AKT1', 'E2F2', 'VCP', 'ADRB2', 'TGFB2', 'ARHGEF7', 'SH3GL2', 'STK32B', 'HRAS', 'LMNA', 'FGF20']","['PPARGC1B', 'CDH4', 'MPHOSPH6']",7,148,1859
2,NCOR2,0.011435123341842985,"['AXIN1', 'GAK', 'PPARG', 'IGF2', 'BCKDK', 'SLC4A2', 'CDKN2A', 'UBXN11', 'KANSL1', 'AHNAK', 'ZFHX3', 'CYP24A1', 'SEL1L', 'NOTCH4', 'GPX4', 'GBF1', 'PRRC2A', 'BACH2', 'PHF20L1', 'CHD3', 'CBX5', 'MAML3', 'POU5F1', 'BCL3', 'DCTN1', 'MZF1', 'ECE1', 'LDLR', 'ITPK1', 'NFIC', 'MEF2C', 'FOXP1', 'SLC6A4', 'BAG6', 'TGFB1', 'PHRF1', 'XRCC5', 'DIO2', 'SETD1A', 'NOTCH3', 'BAZ1B', 'MECP2', 'PPARGC1A', 'HDAC9', 'CYP27B1', 'NR4A2']","['AHDC1', 'FABP4']",4,42,753
3,RAB1A,0.03586233546091066,"['ATP2B1', 'MAP4K4', 'ATG5', 'KIF6', 'STXBP2', 'HMGCR', 'NFU1', 'EXOC4', 'RAB39B', 'VPS13C', 'TMEM59', 'VDAC1', 'PSEN1', 'KLC1', 'NDFIP1', 'HNRNPA2B1', 'TUBB1', 'SOAT1', 'VAMP8', 'GCH1', 'RAB38', 'ATP13A2', 'RAB9B', 'VPS35', 'PDXK', 'YWHAZ', 'CHMP2B', 'PINK1', 'TPM1', 'SCARB2', 'RANBP2', 'ALDH2', 'UBE2Z', 'UBQLN1', 'TSPO', 'KIF1B', 'IQCB1', 'LRRK2', 'PRNP', 'SACM1L', 'GOLGB1', 'PICALM', 'COPA', 'SUCLG2', 'TRAPPC2L', 'RPSA', 'HSPA1L', 'CSGALNACT2', 'LAMP1', 'SCFD1', 'MTHFD1L', 'MYO6', 'BTG1', 'RAB25', 'ANK3', 'M6PR', 'ACE', 'NPEPPS', 'TMED9', 'F5', 'PARK7', 'IFNGR2', 'DCTN4', 'WDR41', 'RAI1']",['NBAS'],0,21,1397
4,CXCL9,0.014525545653935093,"['IL2RB', 'SAMHD1', 'CCR5', 'TLR2', 'PLA2G7', 'IFI30', 'CCR2', 'SP140', 'OAS1', 'C2', 'LAMP3', 'IL18', 'SIRPG', 'CCR6', 'PLEK', 'TREM2', 'CCRL2', 'CTSB', 'PDCD1LG2', 'CHI3L1', 'IL10RA', 'CD6', 'HLA-DMA', 'CX3CR1', 'MX2', 'KLRB1', 'TNFSF14', 'HLA-DQB2', 'HLA-DQA1', 'IL13', 'CD69', 'IL1RN', 'CD40', 'IL1A', 'APOC1', 'BANK1', 'ICOS', 'CCL8', 'TREM1', 'HLA-DMB', 'IL23R', 'RNASEL', 'VSIG4', 'FTL', 'OLR1', 'IL19', 'SLAMF7', 'IL7R', 'IFIH1', 'FADS1', 'HLA-F', 'PRF1']",['TSPAN18'],2,105,706
5,ARNTL2,0.019701566927334237,"['SOD2', 'CLOCK']",['SMCO2'],11,16,106
6,FBF1,0.13665234999879816,"['SLC11A2', 'GATA4', 'ASIC2', 'COL4A4', 'VKORC1', 'APOA5', 'CCDC82', 'TNIP1', 'PON2', 'LPA', 'AHI1', 'CYP17A1', 'PLIN1', 'SIRT2', 'FAM20C', 'AFM', 'PPP1R3B', 'ATP7B', 'CETP', 'ARG2', 'LRP8', 'CFB', 'TSFM', 'EPHX2', 'CA8', 'CALB1', 'TTR', 'BCAS3', 'FOLH1', 'CEP131', 'RYR1', 'SLC9A8', 'AGER', 'SERPINA3', 'AHSG', 'CLU', 'CRB1', 'GPX1', 'SQSTM1', 'COMT', 'ADH1B', 'SCN10A', 'CCDC102B', 'HFE', 'POLK', 'HMOX2', 'FGFR1OP', 'CST3', 'CFH', 'PEG3', 'NOX4', 'LPL', 'CD226', 'DNMBP', 'NGFR', 'GC', 'ANG', 'CTNNA2', 'PM20D1', 'PA2G4', 'PGLYRP2', 'GSTP1', 'CHGB', 'MYD88', 'LRP2', 'BAX', 'INSIG1', 'MSH2', 'RELN', 'HSPB1', 'ADAM10', 'LRAT', 'ZNF292', 'ABCB1', 'SGK3', 'SP4', 'ENPP1', 'POLG', 'ATP7A']",[],1,1,1844
7,CXXC1,0.1649428451290096,"['F13A1', 'DHX16', 'SKIV2L', 'BIN3', 'AP2A2', 'TET2', 'LHFPL2', 'PLD3', 'ZNF512B', 'TGFBI', 'MERTK', 'FAM89B', 'SZT2', 'STK19', 'EIF2B5', 'PPT2', 'MUTYH', 'SLPI', 'ALCAM', 'ZGPAT', 'EIF3K', 'TRPC4AP', 'THBS1', 'GOLM1', 'ABCA7', 'MS4A6A', 'STK39', 'SPG7', 'DDX39B', 'EHMT2', 'HTRA2', 'FAM193B', 'ZNF804A', 'PRKD2', 'SRRM2', 'LOXL1', 'TOP3A', 'DCAF7', 'BRD2', 'MME', 'MMP3', 'SPPL2A', 'BACE2', 'GPX3']",[],0,9,1162
8,TRAPPC8,0.18249862504014613,"['AFF1', 'ADAD1', 'FNIP1', 'MTR', 'NDUFS1', 'DMXL1', 'PANK2', 'USP40', 'RAD21L1', 'SORL1', 'GSAP', 'SLC16A7', 'TEX33', 'NPC1', 'SUN3', 'KIAA2026', 'ZMIZ1', 'COL4A3BP', 'ADNP', 'TMX3', 'ANKRD26', 'CCDC62', 'STX6', 'KIAA1109', 'USP24', 'ICE1', 'IDE', 'UBQLN2', 'WAC', 'DNAJC13', 'MALT1', 'TFAM', 'SPG11', 'PRRC2C', 'DKKL1', 'GLO1', 'GIGYF2']",[],1,1,1226
9,ATP5MC1,0.20191393630277318,"['NELFE', 'WDR12', 'IMPA2', 'COX4I1', 'MTX1', 'GSTO1', 'NDUFC2', 'NUDT1', 'SEMA5A', 'CHCHD10', 'CS', 'ZPR1', 'PSMD9', 'N6AMT1', 'COX8A', 'UBL5', 'BZW2', 'CHCHD2', 'SIGMAR1', 'METTL1', 'PARL', 'NQO2', 'PCK1', 'MTHFD1', 'COQ2', 'TWNK', 'NDUFAF2']",[],0,5,915
