gene	category
TMCO5A	common
SCFD2	common
FAM241A	common
FITM2	common
CPNE8	common
OR2C3	common
ENOX1	common
OR2AE1	common
BLOC1S3	common
MGAT5B	common
CFAP45	common
CSTL1	common
TMEM120B	common
TMEM151A	common
CST11	common
OR8D1	common
ZSWIM9	common
ARRDC2	common
TMEM120A	common
OLFM2	common
TMEM161B	common
RNF121	common
OR2L13	common
TSPAN19	common
TMEM181	common
GTSF1	common
ZNF385D	common
OR4E2	common
RAVER2	common
OR11H4	common
OR6F1	common
OR7C1	common
TMEM218	common
OR4C6	common
TMEM87B	common
HSPA7	common
OR4S2	common
AL121594.3	common
OR2J2	common
FABP9	common
TMED8	common
LARGE2	common
CST3	dementia
ZNF292	dementia
DNAJC6	dementia
STXBP2	dementia
AHSG	dementia
SCFD1	dementia
LINGO1	dementia
TMED9	dementia
ESR2	dementia
CHRM1	dementia
ITGB2	dementia
HEATR4	dementia
NDUFS1	dementia
UBXN11	dementia
RNF4	dementia
FABP2	dementia
TUBB1	dementia
FAM171A2	dementia
ZNF804A	dementia
TEX33	dementia
SNCB	dementia
CNKSR3	dementia
NOX4	dementia
RBMS3	dementia
PDE4D	dementia
ADAD1	dementia
TSPAN16	dementia
MC1R	dementia
HTR2C	dementia
DKKL1	dementia
TRPM1	dementia
VAMP8	dementia
RNF5	dementia
SOAT1	dementia
MGAT5	dementia
VKORC1	dementia
SLC30A7	dementia
PLP1	dementia
CBLL2	dementia
CAMK2A	dementia
SH3RF1	dementia
RPS6KB1	dementia
PRKN	dementia
PTAFR	dementia
HSPB1	dementia
RXRA	dementia
NARS2	dementia
GPR65	dementia
ADAM10	dementia
PACRG	dementia
PCDH11X	dementia
CCRL2	dementia
SPTAN1	dementia
SIGMAR1	dementia
SETD1A	dementia
SIRT2	dementia
UBE2Z	dementia
CCDC62	dementia
DTNBP1	dementia
ZP3	dementia
TSPAN18	OSA
NBAS	OSA
MPHOSPH6	OSA
FABP4	OSA
LPAR1	OSA
PTGER3	OSA
ARRB1	OSA
SGCD	OSA
AHDC1	OSA
NRG1	OSA
